"id","country_id:id","state_id:id","code","name","revision"
mca_area_110000,base.cn,base.state_cn_BJ,"110000","北京市","201904"
mca_area_110101,base.cn,base.state_cn_BJ,"110101","东城区","201904"
mca_area_110102,base.cn,base.state_cn_BJ,"110102","西城区","201904"
mca_area_110105,base.cn,base.state_cn_BJ,"110105","朝阳区","201904"
mca_area_110106,base.cn,base.state_cn_BJ,"110106","丰台区","201904"
mca_area_110107,base.cn,base.state_cn_BJ,"110107","石景山区","201904"
mca_area_110108,base.cn,base.state_cn_BJ,"110108","海淀区","201904"
mca_area_110109,base.cn,base.state_cn_BJ,"110109","门头沟区","201904"
mca_area_110111,base.cn,base.state_cn_BJ,"110111","房山区","201904"
mca_area_110112,base.cn,base.state_cn_BJ,"110112","通州区","201904"
mca_area_110113,base.cn,base.state_cn_BJ,"110113","顺义区","201904"
mca_area_110114,base.cn,base.state_cn_BJ,"110114","昌平区","201904"
mca_area_110115,base.cn,base.state_cn_BJ,"110115","大兴区","201904"
mca_area_110116,base.cn,base.state_cn_BJ,"110116","怀柔区","201904"
mca_area_110117,base.cn,base.state_cn_BJ,"110117","平谷区","201904"
mca_area_110118,base.cn,base.state_cn_BJ,"110118","密云区","201904"
mca_area_110119,base.cn,base.state_cn_BJ,"110119","延庆区","201904"
mca_area_120000,base.cn,base.state_cn_TJ,"120000","天津市","201904"
mca_area_120101,base.cn,base.state_cn_TJ,"120101","和平区","201904"
mca_area_120102,base.cn,base.state_cn_TJ,"120102","河东区","201904"
mca_area_120103,base.cn,base.state_cn_TJ,"120103","河西区","201904"
mca_area_120104,base.cn,base.state_cn_TJ,"120104","南开区","201904"
mca_area_120105,base.cn,base.state_cn_TJ,"120105","河北区","201904"
mca_area_120106,base.cn,base.state_cn_TJ,"120106","红桥区","201904"
mca_area_120110,base.cn,base.state_cn_TJ,"120110","东丽区","201904"
mca_area_120111,base.cn,base.state_cn_TJ,"120111","西青区","201904"
mca_area_120112,base.cn,base.state_cn_TJ,"120112","津南区","201904"
mca_area_120113,base.cn,base.state_cn_TJ,"120113","北辰区","201904"
