"id","api_id","ir_actions_server_id","sequence","action_name","active","lastcall","rollback"
5,2,273,10,"{""en_US"": ""获取企业基本信息"", ""zh_CN"": ""获取企业基本信息""}",true,2023-02-28 03:28:47.000,true
6,2,275,11,"{""en_US"": ""获取企业主要人员"", ""zh_CN"": ""获取企业主要人员""}",true,2023-02-28 03:28:47.000,true
7,3,276,10,"{""en_US"": ""获取企业股东"", ""zh_CN"": ""获取企业股东""}",true,2023-02-28 03:28:08.000,true
11,4,280,11,"{""en_US"": ""获取历史董监高"", ""zh_CN"": ""获取历史董监高""}",true,2023-02-28 03:28:15.000,true
12,4,281,12,"{""en_US"": ""获取历史股东"", ""zh_CN"": ""获取历史股东""}",true,2023-02-28 03:28:15.000,true
16,4,285,13,"{""en_US"": ""获取历史法人"", ""zh_CN"": ""获取历史法人""}",true,2023-02-28 03:28:15.000,true
17,5,286,10,"{""en_US"": ""获取企业对外投资信息"", ""zh_CN"": ""获取企业对外投资信息""}",true,2023-03-03 02:07:29.000,true
18,6,287,10,"{""en_US"": ""获取企业分支机构信息"", ""zh_CN"": ""获取企业分支机构信息""}",true,2023-02-28 03:28:18.000,true
19,7,288,10,"{""en_US"": ""获取企业司法协助信息"", ""zh_CN"": ""获取企业司法协助信息""}",true,2023-02-28 03:28:19.000,true
20,8,289,10,"{""en_US"": ""获取企业被执行人信息"", ""zh_CN"": ""获取企业被执行人信息""}",true,2023-02-28 03:28:20.000,true
21,9,290,10,"{""en_US"": ""获取企业失信被执行人信息"", ""zh_CN"": ""获取企业失信被执行人信息""}",true,2023-03-03 02:51:30.000,true
23,10,292,10,"{""en_US"": ""获取企业判决文书信息"", ""zh_CN"": ""获取企业判决文书信息""}",true,2023-02-28 03:28:20.000,true
24,12,293,10,"{""en_US"": ""获取企业纳税人信息"", ""zh_CN"": ""获取企业纳税人信息""}",true,2023-02-28 03:28:20.000,true
25,13,294,10,"{""en_US"": ""获取企业微博信息"", ""zh_CN"": ""获取企业微博信息""}",true,2023-02-28 03:28:21.000,true
26,14,295,10,"{""en_US"": ""获取企业微信公众号"", ""zh_CN"": ""获取企业微信公众号""}",true,2023-02-28 03:28:21.000,true
27,15,296,10,"{""en_US"": ""获取企业资质证书信息"", ""zh_CN"": ""获取企业资质证书信息""}",true,2023-03-03 02:55:41.000,true
28,16,297,10,"{""en_US"": ""获取企业供应商信息"", ""zh_CN"": ""获取企业供应商信息""}",true,2023-02-28 03:28:22.000,true
29,17,298,10,"{""en_US"": ""获取企业客户信息"", ""zh_CN"": ""获取企业客户信息""}",true,2023-02-28 03:28:35.000,true
30,18,299,10,"{""en_US"": ""获取身份证照片"", ""zh_CN"": ""获取身份证照片""}",false,2023-02-10 10:58:15.000,true
31,19,300,10,"{""en_US"": ""获取企业行政处罚信息"", ""zh_CN"": ""获取企业行政处罚信息""}",true,2023-03-03 02:53:24.000,true
32,20,301,10,"{""en_US"": ""获取企业异常名录信息"", ""zh_CN"": ""获取企业异常名录信息""}",true,2023-02-28 03:28:48.000,true
33,21,302,10,"{""en_US"": ""获取企业抵押登记信息"", ""zh_CN"": ""获取企业抵押登记信息""}",true,2023-02-28 03:28:48.000,true
35,22,307,10,"{""en_US"": ""获取企业商标信息"", ""zh_CN"": ""获取企业商标信息""}",true,2023-03-03 02:46:27.000,true
36,24,308,10,"{""en_US"": ""获取企业专利信息"", ""zh_CN"": ""获取企业专利信息""}",true,2023-03-03 02:49:02.000,true
37,25,309,10,"{""en_US"": ""获取企业软件著作权信息"", ""zh_CN"": ""获取企业软件著作权信息""}",true,2023-02-28 03:28:52.000,true
38,26,310,10,"{""en_US"": ""获取企业作评著作权信息"", ""zh_CN"": ""获取企业作评著作权信息""}",true,2023-02-28 03:28:53.000,true
39,27,311,10,"{""en_US"": ""获取企业网站备案信息"", ""zh_CN"": ""获取企业网站备案信息""}",true,2023-02-28 03:28:53.000,true
41,29,314,11,"{""en_US"": ""获取验证规则详情"", ""zh_CN"": ""获取验证规则详情""}",true,2023-03-03 03:33:33.000,true
42,29,315,10,"{""en_US"": ""获取验证规则权重"", ""zh_CN"": ""获取验证规则权重""}",true,2023-03-03 03:33:33.000,true
43,29,316,12,"{""en_US"": ""获取自然人识别信息"", ""zh_CN"": ""获取自然人识别信息""}",true,2023-03-03 03:33:33.000,true
44,29,317,13,"{""en_US"": ""获取身份证二要素验证信息"", ""zh_CN"": ""获取身份证二要素验证信息""}",true,2023-03-03 03:33:33.000,true
45,29,318,14,"{""en_US"": ""获取手机三要素信息"", ""zh_CN"": ""获取手机三要素信息""}",true,2023-03-03 03:33:33.000,true
46,29,319,15,"{""en_US"": ""获取手机信息验证信息"", ""zh_CN"": ""获取手机信息验证信息""}",true,2023-03-03 03:33:33.000,true
47,29,320,16,"{""en_US"": ""获取法院信息详情——个人高级版信息"", ""zh_CN"": ""获取法院信息详情——个人高级版信息""}",true,2023-03-03 03:33:33.000,true
48,28,321,10,"{""en_US"": ""获取反欺诈规则权重"", ""zh_CN"": ""获取反欺诈规则权重""}",true,2023-03-03 03:33:34.000,true
49,28,322,11,"{""en_US"": ""获取反欺诈评分"", ""zh_CN"": ""获取反欺诈评分""}",true,2023-03-03 03:33:34.000,true
50,28,323,12,"{""en_US"": ""获取信用评分"", ""zh_CN"": ""获取信用评分""}",true,2023-03-03 03:33:34.000,true
51,28,325,13,"{""en_US"": ""获取评测结果"", ""zh_CN"": ""获取评测结果""}",true,2023-03-03 03:33:34.000,true
52,28,326,14,"{""en_US"": ""获取反欺诈规则详情"", ""zh_CN"": ""获取反欺诈规则详情""}",true,2023-03-03 03:33:34.000,true
53,28,327,15,"{""en_US"": ""获取手机号归属地"", ""zh_CN"": ""获取手机号归属地""}",true,2023-03-03 03:33:34.000,true
54,28,328,16,"{""en_US"": ""获取法院被执行人——个人版信息"", ""zh_CN"": ""获取法院被执行人——个人版信息""}",true,2023-03-03 03:33:34.000,true
55,28,329,17,"{""en_US"": ""获取法院被执行人——高级版信息"", ""zh_CN"": ""获取法院被执行人——高级版信息""}",true,2023-03-03 03:33:34.000,true
56,28,330,18,"{""en_US"": ""获取法院裁判文书信息"", ""zh_CN"": ""获取法院裁判文书信息""}",true,2023-03-03 03:33:34.000,true
57,28,331,19,"{""en_US"": ""获取法院被执行人——限高版信息"", ""zh_CN"": ""获取法院被执行人——限高版信息""}",true,2023-03-03 03:33:35.000,true
58,28,332,20,"{""en_US"": ""获取特殊名单验证信息"", ""zh_CN"": ""获取特殊名单验证信息""}",true,2023-03-03 03:33:35.000,true
59,28,333,21,"{""en_US"": ""获取借贷意向验证——本人在本机构借贷意向表现信息"", ""zh_CN"": ""获取借贷意向验证——本人在本机构借贷意向表现信息""}",true,2023-03-03 03:33:35.000,true
60,28,334,22,"{""en_US"": ""获取借贷意向验证——本人在各个客户类型借贷意向表现信息"", ""zh_CN"": ""获取借贷意向验证——本人在各个客户类型借贷意向表现信息""}",true,2023-03-03 03:33:35.000,true
