"id","name","type","params_definition"
1,天眼查token参数,auth,"[{""name"": ""Authorization"", ""type"": ""char"", ""string"": ""token"", ""default"": """"}]"
2,天眼查接口参数（社会统一信用代码或公司名称）,request,"[{""name"": ""keyword"", ""type"": ""char"", ""string"": ""keyword"", ""default"": """"}]"
3,天眼查请求头参数,request,"[{""name"": ""Authorization"", ""type"": ""char"", ""string"": ""token"", ""default"": """"}]"
4,企业基本信息字段定义,response,"[{""name"": ""name"", ""type"": ""char"", ""string"": ""营业执照名称"", ""default"": """", ""view_in_kanban"": true}, {""name"": ""creditCode"", ""type"": ""char"", ""string"": ""社会统一信用代码"", ""default"": """", ""view_in_kanban"": true}, {""name"": ""legalPersonName"", ""type"": ""char"", ""string"": ""法人代表"", ""default"": """", ""view_in_kanban"": true}, {""name"": ""fromTime"", ""type"": ""integer"", ""string"": ""注册时间"", ""default"": false, ""view_in_kanban"": true}, {""name"": ""regLocation"", ""type"": ""char"", ""string"": ""注册地址"", ""default"": """", ""view_in_kanban"": true}, {""name"": ""regCapital"", ""type"": ""char"", ""string"": ""注册资本"", ""default"": """", ""view_in_kanban"": true}, {""name"": ""actualCapital"", ""type"": ""char"", ""string"": ""实缴资本"", ""default"": """", ""view_in_kanban"": true}, {""name"": ""regInstitute"", ""type"": ""char"", ""string"": ""登记机关"", ""default"": """", ""view_in_kanban"": true}, {""name"": ""regStatus"", ""type"": ""char"", ""string"": ""企业状态"", ""default"": """", ""view_in_kanban"": true}, {""name"": ""businessScope"", ""type"": ""char"", ""string"": ""经营范围"", ""default"": """", ""view_in_kanban"": true}]"
5,企业主要人员字段定义,response,"[{""name"": ""chairman"", ""type"": ""char"", ""string"": ""董事长/执行董事"", ""default"": """", ""view_in_kanban"": true}, {""name"": ""president"", ""type"": ""char"", ""string"": ""总经理"", ""default"": false, ""view_in_kanban"": true}, {""name"": ""supervisor"", ""type"": ""char"", ""string"": ""监事"", ""default"": """", ""view_in_kanban"": true}]"
6,企业股东字段定义,response,"[{""name"": ""name"", ""type"": ""char"", ""string"": ""姓名"", ""default"": """", ""view_in_kanban"": true}, {""name"": ""capital_amomon"", ""type"": ""char"", ""string"": ""认缴金额"", ""default"": """", ""view_in_kanban"": true}, {""name"": ""capital_percent"", ""type"": ""char"", ""string"": ""认缴比例"", ""default"": """", ""view_in_kanban"": true}, {""name"": ""capitalActl_amomon"", ""type"": ""char"", ""string"": ""实缴金额"", ""default"": """", ""view_in_kanban"": true}, {""name"": ""capitalActl_percent"", ""type"": ""char"", ""string"": ""实缴比例"", ""default"": """", ""view_in_kanban"": true}]"
7,企业股东认缴额字段定义,response,"[{""name"": ""amomon"", ""type"": ""char"", ""string"": ""金额"", ""default"": """", ""view_in_kanban"": true}, {""name"": ""percent"", ""type"": ""char"", ""string"": ""出资比例"", ""default"": """"}]"
8,企业股东实缴额字段定义,response,"[{""name"": ""amomon"", ""type"": ""char"", ""string"": ""金额"", ""default"": """", ""view_in_kanban"": true}, {""name"": ""percent"", ""type"": ""char"", ""string"": ""出资比例"", ""default"": """"}]"
9,企业历史主要人员字段定义,response,"[{""name"": ""name"", ""type"": ""char"", ""string"": ""姓名"", ""default"": """", ""view_in_kanban"": true}]"
10,企业对外投资字段定义,response,"[{""name"": ""name"", ""type"": ""char"", ""string"": ""姓名"", ""default"": """", ""view_in_kanban"": true}, {""name"": ""creditCode"", ""type"": ""char"", ""string"": ""社会统一信用代码"", ""default"": """", ""view_in_kanban"": true}, {""name"": ""regStatus"", ""type"": ""char"", ""string"": ""企业状态"", ""default"": """", ""view_in_kanban"": true}, {""name"": ""percent"", ""type"": ""char"", ""string"": ""投资占比"", ""default"": """", ""view_in_kanban"": true}]"
