"id","api_id","code","name","is_default"
3,2,QYJBXXJZYRY,企业基本信息及主要人员,true
5,3,HQQYGD,获取企业股东,true
7,4,HQQYLSZYRY,获取企业历史主要人员,true
9,5,HQQYDWTZXX,获取企业对外投资信息,true
11,6,HQQYFZJGXX,获取企业分支机构信息,true
14,7,HQQYSFXZXX,获取企业司法协助信息,true
16,8,HQQYBZXRXX,获取企业被执行人信息,true
18,9,HQQYSXBZXRXX,获取企业失信被执行人信息,true
21,10,HQQYPJWSXX,获取企业判决文书信息,true
24,12,HQQYNSRXX,获取企业纳税人信息,true
26,13,HQQYWBXX,获取企业微博信息,true
28,14,HQQYWXGZH,获取企业微信公众号,true
30,15,HQQYZZZS,获取企业资质证书,true
32,16,HQQYGYSXX,获取企业供应商信息,true
34,17,HQQYKHXX,获取企业客户信息,true
35,18,HQSFZSBJG,获取身份证识别结果,true
37,19,HQQYXZCFXX,获取企业行政处罚信息,true
39,20,HQQYYCMLXX,获取企业异常名录信息,true
41,21,HQQYDYDJXX,获取企业抵押登记信息,true
43,22,HQQYSBXX,获取企业商标信息,true
46,24,HQQYZLXX,获取企业专利信息,true
48,25,HQQYRJZZQXX,获取企业软件著作权信息,true
50,26,HQQYZPZZQXX,获取企业作评著作权信息,true
52,27,HQQYWZBAXX,获取企业网站备案信息,true
53,28,HQQYZXXXSTR,获取企业征信信息STR,true
54,29,HQQYZXXXMCP,获取企业征信信息MCP,true
55,30,HQYYZZXX,获取营业执照信息,true
56,31,HQSFZEYSYZJG,获取身份证二要素验证结果,true
